Plant,State,District,Climate_Season,Agri_Season,Month,Year,Soil_Type,Rainfall_Level,Festival,Expected_Yield_kg_per_acre,Growth_Score,Image_Class,Demand_Level,Price_Index,Supply_Level,Is_Perishable,Reason_for_Demand
Sesame,Nagaland,Nagaland,Autumn,Kharif,July,2017,Laterite,Low,Rath Yatra,755,67,4,3,5,5,0,Traditional consumption and cultural preference during this period
Sesame,Himachal Pradesh,Himachal Pradesh,Summer,Kharif,April,2022,Black,High,Ram Navami,1089,63,4,3,3,4,0,Traditional consumption and cultural preference during this period
Turmeric,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Winter,Rabi,January,2022,Arid & Desert,Medium,Makar Sankranti,2699,40,2,8,9,8,0,Traditional consumption and cultural preference during this period
Jasmine,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Summer,Kharif,April,2011,Arid & Desert,Low,Vishu,2285,58,3,4,6,4,1,Traditional consumption and cultural preference during this period
Jasmine,Nagaland,Nagaland,Autumn,Kharif,October,2023,Black,Medium,Diwali,2474,64,4,8,8,7,1,High floral demand for garlands and decorations
Jasmine,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Autumn,Kharif,July,2016,Arid & Desert,Medium,Rath Yatra,2515,67,4,5,4,8,1,Traditional consumption and cultural preference during this period
Wheat,Punjab,Punjab,Summer,Kharif,April,2020,Red,High,Vishu,3398,53,3,4,3,7,0,Traditional consumption and cultural preference during this period
Sesame,Mizoram,Mizoram,Summer,Kharif,May,2018,Laterite,Medium,Wedding Season,954,86,5,4,4,6,0,Traditional consumption and cultural preference during this period
Wheat,Karnataka,Karnataka,Summer,Kharif,April,2015,Black,High,Vishu,2988,44,3,4,5,7,0,Traditional consumption and cultural preference during this period
Cotton,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,May,2011,Laterite,Low,Wedding Season,737,75,4,4,3,5,0,Traditional consumption and cultural preference during this period
Banana,Delhi,Delhi,Winter,Rabi,January,2020,Alluvial,Medium,Pongal,3089,33,2,10,9,6,1,Banana fruits and leaves used in rituals and feasts
Wheat,Puducherry,Puducherry,Summer,Kharif,April,2019,Red,Medium,Ram Navami,2995,42,3,6,5,6,0,Traditional consumption and cultural preference during this period
Wheat,Haryana,Haryana,Summer,Kharif,June,2024,Alluvial,Low,Rath Yatra,3235,40,2,3,3,8,0,Traditional consumption and cultural preference during this period
Rice,Sikkim,Sikkim,Winter,Rabi,January,2011,Red,High,Lohri,3674,55,3,3,3,4,0,Staple grain used widely in festive meals and offerings
Banana,Telangana,Telangana,Summer,Kharif,April,2012,Alluvial,Low,Ram Navami,3213,82,5,7,8,5,1,Traditional consumption and cultural preference during this period
Turmeric,Andhra Pradesh,Andhra Pradesh,Winter,Rabi,February,2013,Alluvial,High,Wedding Season,2702,48,3,10,7,8,0,Turmeric used in auspicious rituals and ceremonies
Banana,Manipur,Manipur,Summer,Kharif,April,2024,Red,Low,Ram Navami,2785,63,4,6,4,8,1,Traditional consumption and cultural preference during this period
Cotton,Puducherry,Puducherry,Summer,Kharif,June,2022,Alluvial,Medium,Rath Yatra,1101,84,5,7,6,7,0,Traditional consumption and cultural preference during this period
Marigold,Bihar,Bihar,Summer,Kharif,April,2020,Alluvial,Low,Vishu,4874,70,4,5,4,5,1,Traditional consumption and cultural preference during this period
Marigold,Haryana,Haryana,Summer,Kharif,June,2018,Alluvial,Medium,Rath Yatra,4958,73,4,4,6,6,1,Traditional consumption and cultural preference during this period
Marigold,Mizoram,Mizoram,Spring,Rabi,March,2023,Alluvial,Medium,Ram Navami,5012,45,3,4,6,6,1,Traditional consumption and cultural preference during this period
Sugarcane,Kerala,Kerala,Summer,Kharif,April,2014,Alluvial,High,Ugadi,40133,92,5,3,1,4,0,Traditional consumption and cultural preference during this period
Millet,Mizoram,Mizoram,Winter,Rabi,December,2019,Red,Low,Christmas,1319,51,3,3,1,7,0,Traditional consumption and cultural preference during this period
Wheat,West Bengal,West Bengal,Winter,Rabi,February,2020,Alluvial,High,Wedding Season,3119,78,4,4,6,6,0,Traditional consumption and cultural preference during this period
Jasmine,Ladakh,Ladakh,Summer,Kharif,April,2010,Arid & Desert,Low,Vishu,2435,64,4,7,6,7,1,Traditional consumption and cultural preference during this period
Cotton,Uttar Pradesh,Uttar Pradesh,Summer,Kharif,May,2012,Alluvial,Low,Wedding Season,951,62,4,4,6,7,0,Traditional consumption and cultural preference during this period
Wheat,Assam,Assam,Autumn,Kharif,October,2023,Red,Medium,Diwali,3193,32,2,5,6,7,0,Traditional consumption and cultural preference during this period
Cotton,Sikkim,Sikkim,Winter,Rabi,January,2010,Alluvial,High,Makar Sankranti,594,55,3,6,8,4,0,Traditional consumption and cultural preference during this period
Jasmine,Jharkhand,Jharkhand,Winter,Rabi,December,2022,Black,High,Christmas,2674,35,2,5,7,7,1,Traditional consumption and cultural preference during this period
Sesame,Himachal Pradesh,Himachal Pradesh,Spring,Rabi,March,2015,Laterite,High,Holi,1109,46,3,4,2,6,0,Traditional consumption and cultural preference during this period
Turmeric,Assam,Assam,Autumn,Kharif,October,2016,Alluvial,High,Dussehra,3018,58,3,4,3,4,0,Traditional consumption and cultural preference during this period
Rice,Telangana,Telangana,Winter,Rabi,November,2014,Saline/Alkaline,High,Diwali,3850,48,3,10,10,8,0,Staple grain used widely in festive meals and offerings
Turmeric,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Winter,Rabi,November,2021,Red,Medium,Wedding Season,2707,36,2,10,10,5,0,Turmeric used in auspicious rituals and ceremonies
Groundnut,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2019,Black,Medium,Pongal,1325,53,3,5,3,5,0,Traditional consumption and cultural preference during this period
Jasmine,Puducherry,Puducherry,Winter,Rabi,November,2017,Red,Medium,Wedding Season,2683,35,2,9,7,5,1,High floral demand for garlands and decorations
Groundnut,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2017,Black,Low,Pongal,1164,62,4,7,9,7,0,Traditional consumption and cultural preference during this period
Millet,Goa,Goa,Winter,Rabi,January,2018,Black,Medium,Makar Sankranti,1250,41,3,5,5,8,0,Traditional consumption and cultural preference during this period
Rice,Jammu & Kashmir,Jammu & Kashmir,Summer,Kharif,April,2023,Black,Low,Ugadi,3082,69,4,7,9,4,0,Staple grain used widely in festive meals and offerings
Wheat,Meghalaya,Meghalaya,Autumn,Kharif,October,2015,Red,High,Diwali,3305,40,2,6,8,5,0,Traditional consumption and cultural preference during this period
Jasmine,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2018,Black,Medium,Makar Sankranti,2472,38,2,10,10,7,1,Traditional consumption and cultural preference during this period
Rice,Maharashtra,Maharashtra,Winter,Rabi,November,2015,Black,Medium,Wedding Season,3339,61,4,8,5,8,0,Staple grain used widely in festive meals and offerings
Marigold,Meghalaya,Meghalaya,Winter,Rabi,January,2010,Alluvial,High,Makar Sankranti,5088,55,3,8,10,7,1,Traditional consumption and cultural preference during this period
Turmeric,Maharashtra,Maharashtra,Spring,Rabi,March,2013,Black,High,Ugadi,2753,49,3,3,4,5,0,Traditional consumption and cultural preference during this period
Rice,Lakshadweep,Lakshadweep,Winter,Rabi,November,2015,Arid & Desert,Low,Diwali,3332,44,3,9,9,4,0,Staple grain used widely in festive meals and offerings
Sugarcane,Maharashtra,Maharashtra,Autumn,Kharif,October,2020,Black,High,Dussehra,40527,72,4,6,7,7,0,Traditional consumption and cultural preference during this period
Millet,Kerala,Kerala,Spring,Rabi,March,2015,Black,Medium,Ugadi,1427,62,4,6,8,4,0,Traditional consumption and cultural preference during this period
Banana,Maharashtra,Maharashtra,Winter,Rabi,January,2024,Black,Medium,Lohri,3039,27,2,5,4,7,1,Traditional consumption and cultural preference during this period
Banana,Odisha,Odisha,Summer,Kharif,April,2013,Alluvial,High,Vishu,2960,77,4,5,4,5,1,Banana fruits and leaves used in rituals and feasts
Turmeric,Punjab,Punjab,Spring,Rabi,March,2022,Alluvial,High,Holi,2735,61,4,10,10,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Ladakh,Ladakh,Winter,Rabi,January,2013,Arid & Desert,Low,Makar Sankranti,39703,26,2,9,9,4,0,Harvest festival rituals use sugarcane heavily
Jasmine,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Winter,Rabi,January,2010,Arid & Desert,Low,Pongal,2468,60,3,9,7,6,1,Traditional consumption and cultural preference during this period
Sugarcane,Haryana,Haryana,Spring,Rabi,March,2020,Alluvial,Medium,Ugadi,40097,50,3,3,2,8,0,Traditional consumption and cultural preference during this period
Banana,Karnataka,Karnataka,Winter,Rabi,January,2018,Black,High,Pongal,2823,40,2,9,7,6,1,Banana fruits and leaves used in rituals and feasts
Groundnut,Telangana,Telangana,Summer,Kharif,April,2022,Alluvial,Low,Vishu,1024,69,4,4,5,8,0,Traditional consumption and cultural preference during this period
Groundnut,Kerala,Kerala,Autumn,Kharif,October,2019,Black,High,Dussehra,958,71,4,7,8,7,0,Traditional consumption and cultural preference during this period
